Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.06     0.00   164030     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_deallocate(unsigned char*, unsigned long)
  0.00      0.06     0.00   164021     0.00     0.00  std::__new_allocator<unsigned char>::~__new_allocator()
  0.00      0.06     0.00   164019     0.00     0.00  Decimal::Decimal(char const*)::{lambda(char const*, char const*)#2}::operator()(char const*, char const*) const
  0.00      0.06     0.00   164019     0.00     0.00  Decimal::Decimal(char const*)::{lambda(char const*, char const*)#2}::_FUN(char const*, char const*)
  0.00      0.06     0.00   164015     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_impl::~_Vector_impl()
  0.00      0.06     0.00   164015     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.06     0.00   164015     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::~_Vector_base()
  0.00      0.06     0.00   164015     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::~vector()
  0.00      0.06     0.00   164010     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_impl::_Vector_impl()
  0.00      0.06     0.00   164010     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_base()
  0.00      0.06     0.00   164010     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::vector()
  0.00      0.06     0.00   115840     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >::operator*() const
  0.00      0.06     0.00   105704     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >::operator++(int)
  0.00      0.06     0.00   102205     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::cbegin() const
  0.00      0.06     0.00   100020     0.00     0.00  bool __gnu_cxx::operator< <unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > const&, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > const&)
  0.00      0.06     0.00   100018     0.00     0.00  unsigned char* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<unsigned char, unsigned char>(unsigned char*, unsigned char*, unsigned char*)
  0.00      0.06     0.00   100018     0.00     0.00  unsigned char* std::__copy_move_a1<true, unsigned char*, unsigned char*>(unsigned char*, unsigned char*, unsigned char*)
  0.00      0.06     0.00   100018     0.00     0.00  unsigned char* std::__copy_move_a2<true, unsigned char*, unsigned char*>(unsigned char*, unsigned char*, unsigned char*)
  0.00      0.06     0.00   100017     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >::operator++(int)
  0.00      0.06     0.00   100016     0.00     0.00  unsigned char* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<unsigned char*>, unsigned char*>(std::move_iterator<unsigned char*>, std::move_iterator<unsigned char*>, unsigned char*)
  0.00      0.06     0.00   100016     0.00     0.00  unsigned char* std::__copy_move_a<true, unsigned char*, unsigned char*>(unsigned char*, unsigned char*, unsigned char*)
  0.00      0.06     0.00   100016     0.00     0.00  unsigned char* std::uninitialized_copy<std::move_iterator<unsigned char*>, unsigned char*>(std::move_iterator<unsigned char*>, std::move_iterator<unsigned char*>, unsigned char*)
  0.00      0.06     0.00   100016     0.00     0.00  unsigned char* std::__uninitialized_copy_a<std::move_iterator<unsigned char*>, unsigned char*, unsigned char>(std::move_iterator<unsigned char*>, std::move_iterator<unsigned char*>, unsigned char*, std::allocator<unsigned char>&)
  0.00      0.06     0.00   100016     0.00     0.00  unsigned char* std::copy<std::move_iterator<unsigned char*>, unsigned char*>(std::move_iterator<unsigned char*>, std::move_iterator<unsigned char*>, unsigned char*)
  0.00      0.06     0.00   100007     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >::__normal_iterator<unsigned char*, void>(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > const&)
  0.00      0.06     0.00   100007     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >::difference_type __gnu_cxx::operator-<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >(__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > > const&, __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > > const&)
  0.00      0.06     0.00    99986     0.00     0.00  unsigned char* std::__uninitialized_move_a<unsigned char*, unsigned char*, std::allocator<unsigned char> >(unsigned char*, unsigned char*, unsigned char*, std::allocator<unsigned char>&)
  0.00      0.06     0.00    99901     0.00     0.00  bool __gnu_cxx::operator!=<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > const&, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > const&)
  0.00      0.06     0.00    99896     0.00     0.00  void std::__copy_move<false, false, std::random_access_iterator_tag>::__assign_one<unsigned char, unsigned char>(unsigned char*, unsigned char*)
  0.00      0.06     0.00    99896     0.00     0.00  unsigned char* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*>(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*)
  0.00      0.06     0.00    99896     0.00     0.00  unsigned char* std::__copy_move_a<false, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*>(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*)
  0.00      0.06     0.00    99896     0.00     0.00  unsigned char* std::uninitialized_copy<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*>(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*)
  0.00      0.06     0.00    99896     0.00     0.00  unsigned char* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*, unsigned char>(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*, std::allocator<unsigned char>&)
  0.00      0.06     0.00    99896     0.00     0.00  unsigned char* std::copy<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*>(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*)
  0.00      0.06     0.00    99895     0.00     0.00  void std::vector<unsigned char, std::allocator<unsigned char> >::_M_range_insert<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > >(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, std::forward_iterator_tag)
  0.00      0.06     0.00    99895     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > std::vector<unsigned char, std::allocator<unsigned char> >::insert<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, void>(__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >)
  0.00      0.06     0.00    99891     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > std::__niter_wrap<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*>(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*)
  0.00      0.06     0.00    99885     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >::operator+=(long)
  0.00      0.06     0.00    99885     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > std::__copy_move_a<false, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > >(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >)
  0.00      0.06     0.00    99885     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > std::copy<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > >(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >)
  0.00      0.06     0.00    99885     0.00     0.00  void std::__advance<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, long>(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >&, long, std::random_access_iterator_tag)
  0.00      0.06     0.00    85006     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::begin() const
  0.00      0.06     0.00    82796     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::end() const
  0.00      0.06     0.00    82582     0.00     0.00  bool __gnu_cxx::operator==<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >(__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > > const&, __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > > const&)
  0.00      0.06     0.00    82582     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::empty() const
  0.00      0.06     0.00    82515     0.00     0.00  Decimal::normalize()
  0.00      0.06     0.00    82514     0.00     0.00  Decimal::operator-(Decimal&)
  0.00      0.06     0.00    82373     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.06     0.00    82137     0.00     0.00  std::remove_reference<unsigned char&>::type&& std::move<unsigned char&>(unsigned char&)
  0.00      0.06     0.00    82046     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_allocate(unsigned long)
  0.00      0.06     0.00    82046     0.00     0.00  std::__new_allocator<unsigned char>::deallocate(unsigned char*, unsigned long)
  0.00      0.06     0.00    82046     0.00     0.00  std::__new_allocator<unsigned char>::allocate(unsigned long, void const*)
  0.00      0.06     0.00    82041     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::_M_check_len(unsigned long, char const*) const
  0.00      0.06     0.00    82035     0.00     0.00  unsigned char& std::vector<unsigned char, std::allocator<unsigned char> >::emplace_back<unsigned char>(unsigned char&&)
  0.00      0.06     0.00    82035     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::push_back(unsigned char&&)
  0.00      0.06     0.00    82026     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::_S_relocate(unsigned char*, unsigned char*, unsigned char*, std::allocator<unsigned char>&)
  0.00      0.06     0.00    82026     0.00     0.00  unsigned char* std::__relocate_a<unsigned char*, unsigned char*, std::allocator<unsigned char> >(unsigned char*, unsigned char*, unsigned char*, std::allocator<unsigned char>&)
  0.00      0.06     0.00    82026     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<unsigned char, void>::value, unsigned char*>::type std::__relocate_a_1<unsigned char, unsigned char>(unsigned char*, unsigned char*, unsigned char*, std::allocator<unsigned char>&)
  0.00      0.06     0.00    82022     0.00     0.00  unsigned char* std::__to_address<unsigned char>(unsigned char*)
  0.00      0.06     0.00    82019     0.00     0.00  void std::vector<unsigned char, std::allocator<unsigned char> >::_M_realloc_append<unsigned char>(unsigned char&&)
  0.00      0.06     0.00    82019     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::_M_realloc_append<unsigned char>(unsigned char&&)::_Guard::_Guard(unsigned char*, unsigned long, std::allocator<unsigned char>&)
  0.00      0.06     0.00    82019     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::_M_realloc_append<unsigned char>(unsigned char&&)::_Guard::~_Guard()
  0.00      0.06     0.00    82007     0.00     0.00  Decimal::~Decimal()
  0.00      0.06     0.00    82005     0.00     0.00  Decimal::Decimal(char const*)
  0.00      0.06     0.00    82005     0.00     0.00  Decimal::Decimal(char const*)::{lambda(char const*, char const*)#2}::operator bool (*)(char const*, char const*)() const
  0.00      0.06     0.00    82002     0.00     0.00  Decimal::operator+(Decimal&)
  0.00      0.06     0.00    82002     0.00     0.00  Decimal::operator++(int)
  0.00      0.06     0.00     5476     0.00     0.00  bool __gnu_cxx::operator!=<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >(__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > > const&, __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > > const&)
  0.00      0.06     0.00     5268     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >::operator++()
